fullName,description,url,stars,size,language,pushedAt,forks,openIssues,commitCount,license,topics,watchersCount,hasIssuesEnabled
zalando/problem-spring-web,A library for handling Problems in Spring Web MVC,https://github.com/zalando/problem-spring-web,1068,1572,Java,Mon Mar 23 04:56:10 CST 2026,131,52,1281,MIT License,java|json|exception|error|problem|rfc7807|spring|spring-boot|web|microservice,49,true
gavlyukovskiy/spring-boot-data-source-decorator,Spring Boot integration with p6spy; datasource-proxy; flexy-pool and spring-cloud-sleuth,https://github.com/gavlyukovskiy/spring-boot-data-source-decorator,1051,3249,Java,Mon Jun 15 15:27:30 CST 2026,98,10,356,Apache License 2.0,spring-boot|spring-boot-starters|p6spy|flexy-pool|datasource-proxy|datasource|spring-cloud-sleuth|micrometer|connection-pool|jdbc,19,true
gaarason/database-all,Eloquent ORM for Java 8; 11; 17; 21; 23 and Spring boot 2.x ; 3.x,https://github.com/gaarason/database-all,1033,2186,Java,Sat May 09 11:30:02 CST 2026,27,13,418,MIT License,laravel|java|orm|database|spring-boot|starter|eloquent-orm|mysql|model|orm-framework,13,true
Byron4j/CookBook,🎉🎉🎉JAVA高级架构师技术栈==任何技能通过 “刻意练习” 都可以达到融会贯通的境界，就像烹饪一样，这里有一份JAVA开发技术手册，只需要增加自己练习的次数。🏃🏃🏃,https://github.com/Byron4j/CookBook,1029,71774,Java,Thu May 07 07:41:32 CST 2026,308,5,375,MIT License,nio|netty|jvm|mybatis|rabbitmq|tomcat|jenkins|cookbooks|spring-boot|spring-cloud,33,true
microsoft/HydraLab,Intelligent cloud testing made easy.,https://github.com/microsoft/HydraLab,1025,146381,Java,Mon Jun 15 10:22:47 CST 2026,105,61,749,MIT License,testing|mobile-development|testing-framework|cross-platform|test-automation|spring-boot|developer-tools|e2e-testing|ui-testing|azure,5813,true
baidu/starlight,Java implementation for Baidu RPC; multi-protocol & high performance RPC.,https://github.com/baidu/starlight,976,4830,Java,Mon Oct 20 10:23:37 CST 2025,282,17,128,Apache License 2.0,rpc|brpc|netty|protobuf|high-performance|spring-cloud|spring-boot|microservice,51,true
spring-projects/spring-tools,The next generation of tooling for Spring Boot; including support for Cloud Foundry manifest files; Concourse CI pipeline definitions; BOSH deployment manifests; and more... - Available for Visual Studio Code; Cursor; Eclipse; and Theia,https://github.com/spring-projects/spring-tools,968,204240,Java,Fri Jun 12 14:13:07 CST 2026,230,149,7121,Eclipse Public License 1.0,spring|spring-boot|eclipse|vscode-extension|theia|visual-studio-code|sts4,48,true
TaleLin/lin-cms-spring-boot,🔨 基于SpringBoot的CMS/DMS/管理系统开发框架,https://github.com/TaleLin/lin-cms-spring-boot,957,765,Java,Mon Sep 22 01:59:25 CST 2025,267,45,255,MIT License,spring-boot|cms|java|lin,14,true
dromara/dante-cloud,🐉 Dante Cloud 国内首个支持阻塞式和响应式服务并行的微服务云原生基座。采用领域驱动模型(DDD)设计思想，以「高质量代码、低安全漏洞」为核心，高度模块化和组件化设计，支持IoT等物联网设备认证，满足国家三级等保要求、支持接口国密数字信封加解密等系列安全体系的多租户微服务解决方案。独创的“一套代码实现微服务和单体两种架构灵活切换”的企业级微服务平台。🔝🔝 点个star 持续关注更新！,https://github.com/dromara/dante-cloud,943,219480,Java,Fri Jun 12 04:58:57 CST 2026,208,2,1476,Apache License 2.0,spring-cloud|nacos|spring-boot|spring-cloud-alibaba|spring-authorization-server|loki|spring-cloud-tencent|iot|ai-agent|monolith,15,true
codecentric/chaos-monkey-spring-boot,Chaos Monkey for Spring Boot,https://github.com/codecentric/chaos-monkey-spring-boot,940,6402,Java,Tue Jun 16 04:16:19 CST 2026,173,15,985,Apache License 2.0,spring|spring-boot|spring-cloud|chaos-engineering|chaos-monkey|chaos-testing|chaostoolkit|testing|testing-tools|test-framework,32,true
Erudika/scoold,The Stack Overflow clone for your team (self-hosted or hosted),https://github.com/Erudika/scoold,918,15807,Java,Tue Jun 16 06:37:41 CST 2026,229,9,2158,Apache License 2.0,stackoverflow|stackoverflow-questions|questions-and-answers|java|spring-boot|clone|scoold|forum|forums|forum-software,23,true
terrakube-io/terrakube,Open source IaC Automation and Collaboration Software.,https://github.com/terrakube-io/terrakube,911,18505,Java,Tue Jun 16 15:25:07 CST 2026,105,111,2145,Apache License 2.0,spring-boot|elide|terraform|kubernetes|terraform-registry|terraform-enterprise|terraform-cloud|opentofu,6,true
liuyueyi/quick-media,media(audio/image/qrcode/markdown/html/svg/png) support (多媒体编辑服务; 酷炫二维码; 音频; 图片; svg; markdown; html渲染服务支持)  ,https://github.com/liuyueyi/quick-media,910,41486,Java,Mon Feb 09 01:03:24 CST 2026,324,27,369,Apache License 2.0,ffmpeg|markdown-html|html-images|spring-boot|qrcode|batik|svg|phantomjs|image-magick|audio-plugin,52,true
apache/causeway,Use Apache Causeway™ to rapidly develop domain-driven apps or modular monoliths in Java; on top of the Spring Boot platform. Write your business logic in entities; domain services or view models; and the framework dynamically generates a representation of that domain model as a webapp; GraphQL or RESTful API. For prototyping or production.,https://github.com/apache/causeway,889,401374,Java,Tue Jun 16 09:21:37 CST 2026,319,13,30224,Apache License 2.0,java|web-framework|domain-driven-design|ddd|rapid-application-development|rad|naked-objects|restful-objects|spring-boot,61,false
PlaytikaOSS/testcontainers-spring-boot,Container auto-configurations for Spring Boot based integration tests,https://github.com/PlaytikaOSS/testcontainers-spring-boot,876,7351,Java,Tue Jun 16 14:10:10 CST 2026,255,36,2762,MIT License,spring-boot|testcontainers|kafka|couchbase|memsql|aerospike|mariadb|redis|neo4j|docker,32,true
bfwg/springboot-jwt-starter,A Spring Boot JWT starter kit for stateless and token-based authentication apps.,https://github.com/bfwg/springboot-jwt-starter,844,269,Java,Wed Apr 22 18:33:14 CST 2026,284,6,153,MIT License,spring-boot|jwt|angularjs|java|spring|spring-security|jwt-authentication,42,true
spring-cloud/spring-cloud-consul,Spring Cloud Consul,https://github.com/spring-cloud/spring-cloud-consul,822,76778,Java,Thu Jun 11 09:50:17 CST 2026,540,134,1365,Apache License 2.0,spring-boot|spring|java|consul|service-discovery|configuration|microservices|cloud-native|spring-cloud|spring-cloud-core,76,true
rieckpil/blog-tutorials,:star: Codebase for various tutorials  about Java; Spring Boot; AWS; Kotlin; and Testing,https://github.com/rieckpil/blog-tutorials,809,26496,Java,Wed May 27 00:49:01 CST 2026,754,14,1055,MIT License,spring-boot|java|microprofile|java-ee|kotlin|spring-framework|aws|maven|jdk|spring-web,49,true
darbyluv2code/spring-and-hibernate-for-beginners,Source code for the course: Spring and Hibernate for Beginners,https://github.com/darbyluv2code/spring-and-hibernate-for-beginners,808,3955,Java,Sun Apr 19 11:34:45 CST 2026,763,0,167,Other,java|spring|spring-boot|aop|crud|hibernate|jpa|maven|mysql|rest,41,false
pig-mesh/deepseek4j,deepseek java sdk ,https://github.com/pig-mesh/deepseek4j,751,201,Java,Fri Apr 24 19:38:46 CST 2026,143,13,88,Apache License 2.0,deepseek|deepseek-r1|java|openai|spring-boot|spring-boot-3|spring-boot-4,10,true
spring-cloud/spring-cloud-commons,Common classes used in different Spring Cloud implementations,https://github.com/spring-cloud/spring-cloud-commons,748,16466,Java,Mon Jun 15 11:27:14 CST 2026,735,180,2526,Apache License 2.0,java|spring|spring-boot|spring-cloud|microservices|cloud-native|spring-cloud-core,66,true
spring-cloud/spring-cloud-contract,Support for Consumer Driven Contracts in Spring,https://github.com/spring-cloud/spring-cloud-contract,731,138337,Java,Tue Jun 16 09:43:22 CST 2026,437,109,5244,Apache License 2.0,java|spring|spring-boot|spring-cloud|microservices|cloud-native|consumer-driven-contracts|testing|spring-cloud-core,37,true
naturalprogrammer/spring-lemon,Helper library for Spring Boot web applications,https://github.com/naturalprogrammer/spring-lemon,712,1466,Java,Fri Jul 11 19:10:02 CST 2025,181,13,526,Other,java|spring-lemon|spring-framework|rest-api|spring-mvc|spring-security|spring-boot,58,true
eventuate-tram/eventuate-tram-examples-customers-and-orders,An example of Choreography-based sagas in Spring Boot/JPA microservices,https://github.com/eventuate-tram/eventuate-tram-examples-customers-and-orders,712,1536,Java,Wed Apr 01 15:22:48 CST 2026,311,36,483,Other,microservices|java|spring-boot|microservice-architecture|sagas|eventual-consistency,32,true
wwwlike/vlife,上手简单，无需前端开发的准零代码平台，做轻流/明道本地化的平替产品。,https://github.com/wwwlike/vlife,710,25134,Java,Mon Jul 07 22:23:36 CST 2025,95,5,323,Other,codegenerator|data-engineer|low-code|spring-boot|spring|admin|form-designer|template-project,12,true
Alovoa/alovoa,Free and open-source dating platform that respects your privacy,https://github.com/Alovoa/alovoa,710,27353,Java,Thu May 14 11:19:28 CST 2026,158,75,1242,GNU Affero General Public License v3.0,dating|dating-app|dating-web-app|spring-boot|spring|maven|help-wanted,21,true
openwms/org.openwms,Open Warehouse Management System,https://github.com/openwms/org.openwms,693,103933,Java,Thu Feb 12 06:09:30 CST 2026,216,4,5256,Apache License 2.0,wms|logistics|tms|materialflow|spring|spring-boot|spring-framework|cloud|cloud-native|warehouse,53,true
ccmjga/mjga-scaffold,🔥 一个与 IntelliJ IDEA 配套的 Java 脚手架，你的专属生产力工具。,https://github.com/ccmjga/mjga-scaffold,690,10855,Java,Tue Jul 29 02:24:21 CST 2025,41,4,54,MIT License,gradle|java|jooq|pmd|spotless|java-docker|spring-boot|testcontainer|spring-security|java-scaffold,7,true
dolyw/ShiroJwt,API SpringBoot + Shiro + Java-Jwt + Redis(Jedis),https://github.com/dolyw/ShiroJwt,688,203,Java,Wed Feb 11 13:53:59 CST 2026,272,9,79,MIT License,shiro|redis|jwt|spring-boot|redis-refreshtoken|mysql|vue|element-ui,25,true
smart-cloud/smart-cloud,基于springboot && springcloud的脚手架，支持服务合并部署与拆分部署、接口加解密签名、日志数据 脱敏、接口数据mock、接口文档自动生成、请求幂等校验、接口日志&&sql日志切面打印、分表分库分布式事务、国际化语言、接口监控及服务监控等,https://github.com/smart-cloud/smart-cloud,687,3611,Java,Fri Jun 12 06:25:56 CST 2026,170,0,766,Apache License 2.0,spring-boot|yapi|mock|redis|sharding-jdbc|dynamic-datasource|mybatis-plus|rabbitmq|gateway|springcloud,21,true
wimdeblauwe/htmx-spring-boot,Spring Boot and Thymeleaf helpers for working with htmx,https://github.com/wimdeblauwe/htmx-spring-boot,680,575,Java,Sat Mar 14 11:02:28 CST 2026,63,4,331,Apache License 2.0,htmx|spring-boot|thymeleaf,20,true
nagisa77/OpenIsle,完全开源的社区平台,https://github.com/nagisa77/OpenIsle,673,33664,Java,Thu Feb 12 02:43:35 CST 2026,131,15,2523,MIT License,java|nuxt|redis|vue3|jparepository|mysql|nuxt4|spring-boot|websocket|websocket-chat,4,true
ch4mpy/spring-addons,Additional Spring Boot auto-configuration for OAuth2 / OpenID & REST,https://github.com/ch4mpy/spring-addons,666,15196,Java,Sat Jun 13 10:48:06 CST 2026,98,4,1866,Apache License 2.0,hacktoberfest|keycloak|spring-boot|spring-security|auth0|cognito|oidc|openid|openidconnect,12,true
KouShenhai/KCloud-Platform-IoT,KCloud-Platform-IoT（老寇IoT云平台）是一个企业级单体架构和微服务架构的IoT云平台。采用DDD(领域驱动设计)思想，基于Spring Boot 4.1.0、Spring Cloud 2025.1.2、Spring Cloud Alibaba 2025.1.0.0 最新版本开发的云服务多租户IoT平台，家人们，点个star！拜托啦~,https://github.com/KouShenhai/KCloud-Platform-IoT,662,323824,Java,Tue Jun 16 18:45:57 CST 2026,153,14,14416,Apache License 2.0,redis|spring-boot|spring-cloud-alibaba|mybatis-plus|elasticsearch|mongodb|nacos|mybatis|spring-cloud|netty,11,true
pig-mesh/excel-spring-boot-starter,本项目旨在为用户提供一个便捷的 Excel 导出解决方案。基于阿里巴巴的 EasyExcel、FastExcel 库，结合 Spring Boot 框架，封装并优化了 Excel 文件的导出流程，帮助开发者更高效地实现数据导出功能。,https://github.com/pig-mesh/excel-spring-boot-starter,648,376,Java,Thu May 21 07:40:08 CST 2026,171,21,263,Apache License 2.0,java|spring|spring-boot|excel|ai|easyexcel|fastexcel,9,true
Jarrettluo/all-docs,"All Docs" is a tool that enables online previewing; storage; and sharing of documents such as Word; Excel; PowerPoint; PDF; and images (Pic). It supports full-text search for all document information.  “全文档”(All Docs)，Word; Excel; PPT; PDF; Pic等文档在线预览、存储、共享的工具，并且支持全文搜索的所有的文档信息。demo账号密码：admin123,https://github.com/Jarrettluo/all-docs,642,52224,Java,Sat May 09 01:41:36 CST 2026,153,11,351,MIT License,document|document-preview|elasticsearch|mongodb|spring-boot,12,true
matevip/mateclaw,🤖 MateClaw — Your second brain with Multi-Agent Orchestration; MCP Protocol; Skills & Memory; Dream; and Multi-Channel Support. Built on Spring AI Alibaba.,https://github.com/matevip/mateclaw,642,28888,Java,Tue Jun 16 16:37:10 CST 2026,197,63,1137,Apache License 2.0,ai-agent|dingtalk-robot|feishu-bot|mcp-protocol|multi-agent|openclaw|plan-and-execute|spring-ai|spring-boot|telegrambot,13,true
Sunagatov/Iced-Latte,a online Marketplace for coffee retail (Backend),https://github.com/Sunagatov/Iced-Latte,635,90060,Java,Tue Jun 16 14:20:45 CST 2026,135,16,2526,Other,docker|java|jwt|kubernetes|maven|sonarqube|spring-boot|postman|stripe|log4j2,5,true
Hakky54/mutual-tls-ssl,🔐 Tutorial of setting up Security for your API with one way authentication with TLS/SSL and mutual authentication for a java based web server and a client with both Spring Boot. Different clients are provided such as Apache HttpClient; OkHttp; Spring RestTemplate; Spring WebFlux WebClient Jetty and Netty; the old and the new JDK HttpClient; the old and the new Jersey Client; Google HttpClient; Unirest; Retrofit; Feign; Methanol; vertx; Scala client Finagle; Featherbed; Dispatch Reboot; AsyncHttpClient; Sttp; Akka; Requests Scala; Http4s Blaze; Kotlin client Fuel; http4k; Kohttp and ktor. Also other server examples are available such as jersey with grizzly. Also gRPC; WebSocket and ElasticSearch examples are included,https://github.com/Hakky54/mutual-tls-ssl,634,1623,Java,Mon Jun 08 13:47:00 CST 2026,128,1,603,Apache License 2.0,tls|truststore|certificate|keystore|encryption|openssl|certificate-signing-request|certificate-authority|mutual-tls|mutual-authentication,17,true
Ahoo-Wang/CosId,Universal; flexible; high-performance distributed ID generator.                              | 通用、灵活、高性能的分布式 ID 生成器,https://github.com/Ahoo-Wang/CosId,630,11520,Java,Thu May 28 09:14:10 CST 2026,86,11,1433,Apache License 2.0,distributed|id|idgenerator|snowflake|kubernetes|k8s|cloud-native|redis|id-generator|generator,10,true
seed4j/seed4j,Seed4J is a modular code generator with clean architecture,https://github.com/seed4j/seed4j,610,71613,Java,Mon Jun 15 17:43:41 CST 2026,224,80,25315,Apache License 2.0,java|spring-boot|generator|hexagonal-architecture|typescript|vuejs|hacktoberfest,19,true
apache/incubator-kie-kogito-runtimes,Kogito Runtimes is a cloud-native business automation technology for building cloud-ready business applications,https://github.com/apache/incubator-kie-kogito-runtimes,610,306967,Java,Tue Jun 16 09:07:03 CST 2026,253,104,21075,Apache License 2.0,rule-engine|dmn|kogito|quarkus|cloud-native|workflow|bpm|workflow-engine|java|spring-boot,50,true
818000/bus,Bus (Enterprise Application/Service Bus) is a foundational framework and service suite; a lightweight enterprise-grade application/service framework built on Java 17+; providing standardized service suites and distributed middleware solutions.,https://github.com/818000/bus,609,427926,Java,Tue Jun 16 03:58:57 CST 2026,36,0,2098,Apache License 2.0,cache|crypto|hl7|java21|logger|mybatis|opencv|socket|spring-boot|starter,14,true
openanalytics/shinyproxy,ShinyProxy - Open Source Enterprise Deployment for Shiny and data science apps,https://github.com/openanalytics/shinyproxy,604,1706,Java,Fri May 15 07:19:52 CST 2026,159,67,891,Apache License 2.0,docker|docker-swarm|java|kubernetes|shinyproxy|containers|shiny|spring-boot,42,true
line/line-fido2-server,FIDO2(WebAuthn) server officially certified by FIDO Alliance and Relying Party examples.,https://github.com/line/line-fido2-server,580,14563,Java,Tue Apr 28 17:36:20 CST 2026,109,9,42,Apache License 2.0,fido2|webauthn|passwordless|security|java|spring-boot|example|relying-party,18,true
spring-cloud/spring-cloud-zookeeper,Spring Cloud Zookeeper,https://github.com/spring-cloud/spring-cloud-zookeeper,573,31366,Java,Thu Jun 11 10:30:48 CST 2026,410,38,985,Apache License 2.0,java|spring-boot|spring|spring-cloud|service-discovery|configuration|microservices|cloud-native|zookeeper|spring-cloud-core,70,true
laigeoffer/pmhub,PmHub，一个基于 SpringCloud & LLM 的智能项目管理系统，该项目旨在帮助小伙伴们快速掌握微服务/分布式项目的架构设计和开发流程。如果你想在校招或者社招中拿到一个满意的 offer，PmHub 将是一个非常 nice 的选择😄。,https://github.com/laigeoffer/pmhub,566,19039,Java,Tue Jun 24 18:47:16 CST 2025,186,3,234,MIT License,java|docker-compose|mybatis-plus|mysql|nacos|redis|rocketmq|spring|spring-boot|spring-cloud,4,true
TimefoldAI/timefold-quickstarts,Get started with Timefold quickstarts here. Optimize the vehicle routing problem; employee rostering; task assignment; maintenance scheduling and other planning problems.,https://github.com/TimefoldAI/timefold-quickstarts,557,38754,Java,Sun Jun 14 22:50:29 CST 2026,161,8,537,Apache License 2.0,artificial-intelligence|employee-scheduling|gradle|java|job-shop-scheduling|kotlin|maintenance-scheduling|maven|planning-algorithms|quarkus,19,true
wells2333/sg-exam,基于Spring Boot搭建的新一代教学管理平台，提供权限管理、考试、问卷、练习等功能,https://github.com/wells2333/sg-exam,547,93747,Java,Sat Apr 04 23:43:38 CST 2026,193,3,520,Apache License 2.0,examination|online-exam-system|online-examination-system|spring-microservice-exam|vue|spring-boot,10,true
stick-i/scblogs,🎉校园博客，基于微服务架构且前后端分离的博客社区系统。项目后端技术栈：JDK17+SpringBoot + SpringCloud + Mybatis-Plus + Nacos + MySQL + Redis + MQ + ElasticSearch + Docker。前端主要是基于Vue2和ElementUI进行开发的。,https://github.com/stick-i/scblogs,542,4292,Java,Fri Dec 19 02:04:03 CST 2025,106,18,714,Other,java|redis|vue|spring-cloud|docker|jwt-token|nacos|rabbitmq|elasticsearch|mybatis,9,true
quick-perf/quickperf,QuickPerf is a testing library for Java to quickly evaluate and improve some performance-related properties,https://github.com/quick-perf/quickperf,536,1682,Java,Wed May 06 08:46:13 CST 2026,73,22,458,Apache License 2.0,performance-testing|performance-analysis|performance|jvm|allocation|profiling|hibernate|sql|spring|spring-boot,9,true
JavatoDev-com/internet-banking-concept-microservices,Internet Banking Concept Microservices,https://github.com/JavatoDev-com/internet-banking-concept-microservices,523,635,Java,Thu Nov 06 10:01:25 CST 2025,275,6,193,MIT License,spring-boot|spring-cloud-gateway|banking|internet-banking-concept|internet-banking-application|spring-boot-microservices|eureka|gateway|java|microservices,11,true
gessnerfl/fake-smtp-server,A simple SMTP Server for Testing purposes. Emails are stored in an in-memory database and rendered in a Web UI,https://github.com/gessnerfl/fake-smtp-server,503,2681,Java,Mon Jun 15 19:53:15 CST 2026,101,36,535,Apache License 2.0,smtp-server|spring-boot|fake-smtp-server,10,true
wimdeblauwe/error-handling-spring-boot-starter,Spring Boot starter for configurable REST API error handling,https://github.com/wimdeblauwe/error-handling-spring-boot-starter,502,1377,Java,Wed Apr 08 03:26:42 CST 2026,61,4,312,Apache License 2.0,spring-boot,15,true
hantsy/spring-webmvc-jwt-sample,Secures REST APIs with Spring Security and JWT Token based Authentication,https://github.com/hantsy/spring-webmvc-jwt-sample,490,298,Java,Wed Jun 10 13:54:26 CST 2026,228,1,177,GNU General Public License v3.0,spring-boot|spring-security|jwt|spring-data-jpa|spring-data-rest|spring,20,true
citrusframework/citrus,Framework for automated integration tests with focus on message-based applications,https://github.com/citrusframework/citrus,483,104837,Java,Tue Jun 16 13:24:10 CST 2026,148,180,5449,Apache License 2.0,integration-testing|microservices|messaging|apache-camel|http|jms|kafka|knative|kubernetes|quarkus,40,true
siam1026/siam-server,暹罗点餐是一款Java餐饮点餐系统，适用于多门店的连锁品牌，对标蜜雪冰城、瑞幸咖啡。该系统包含用户端、商家端、配送端以及总管理后台，美食下单、外卖配送、连锁餐饮和扫码点餐等核心功能，同时提供积分商城、会员中心和邀请好友注册返现等增值服务，以拓展客源。基于 Spring Boot + MyBatis Plus + Vue & Element + uni-app 技术栈进行开发；,https://github.com/siam1026/siam-server,480,19155,Java,Sat Jun 13 07:41:24 CST 2026,93,1,417,Apache License 2.0,delivery|distribution|element-ui|food-delivery|java|mall|mybatis|order|shop|spring-boot,5,true
BNYMellon/spring-kata,Code katas for learning Spring® and Spring Boot.,https://github.com/BNYMellon/spring-kata,478,292,Java,Mon Jan 12 09:58:52 CST 2026,103,2,28,Apache License 2.0,java-11|java-16|java-17|spring|spring-boot|java,22,true
apache/camel-examples,Apache Camel Examples,https://github.com/apache/camel-examples,475,11740,Java,Mon Jun 15 23:44:33 CST 2026,381,3,2836,Apache License 2.0,camel|integration|java|cloud-native|data-transformation|enterprise-integration-patterns|examples|integration-framework|kafka|mcp,38,false
booklore-app/booklore,BookLore: A self-hosted; multi-user digital library with smart shelves; auto metadata; Kobo & KOReader sync; BookDrop imports; OPDS support; and a built-in reader for EPUB; PDF; and comics.,https://github.com/booklore-app/booklore,463,52430,Java,Fri Jun 12 17:49:44 CST 2026,40,540,2003,GNU Affero General Public License v3.0,angular|book-management|ebooks|java|library-management-system|metadata-management|oidc|opds|self-hosted|spring-boot,3,false
zonkyio/embedded-database-spring-test,A library for creating isolated embedded databases for Spring-powered integration tests.,https://github.com/zonkyio/embedded-database-spring-test,463,974,Java,Thu Mar 12 14:48:51 CST 2026,42,12,387,Apache License 2.0,embedded-database|embedded-postgresql|spring-framework|spring-boot|spring-test|flyway|liquibase|testcontainers|h2-database|mariadb,9,true
9tigerio/db2rest,Instant no code DATA API platform for relational databases. Connect any database; run anywhere. Power your GENAI application function/tools calls in seconds.,https://github.com/9tigerio/db2rest,462,80911,Java,Sat May 30 08:30:17 CST 2026,88,22,1561,Apache License 2.0,data-api|java|restapi|spring-boot|springboot|mysql|mysql-database|postgres|postgresql|ai,10,true
spring-cloud/spring-cloud-bus,Spring Cloud event bus,https://github.com/spring-cloud/spring-cloud-bus,443,3335,Java,Thu Jun 11 08:57:49 CST 2026,244,23,800,Apache License 2.0,java|spring|spring-boot|spring-cloud|microservices|messaging|cloud-native|spring-cloud-core,51,true
fo11ow-me/hrm,基于Spring Boot+Vue+ElementUI的人力资源管理系统,https://github.com/fo11ow-me/hrm,438,25771,Java,Tue Jun 16 05:07:50 CST 2026,100,43,68,GNU General Public License v3.0,echarts|hutool|jwt|mybatis-plus|mysql|spring-boot|vue|element-ui|spring-security|redis,2,true
joinfaces/joinfaces,JoinFaces: JSF Spring Boot Starters - JSF inside Spring Boot Application,https://github.com/joinfaces/joinfaces,433,9578,Java,Thu Jun 11 10:05:57 CST 2026,96,47,6499,Apache License 2.0,joinfaces|spring-boot|jsf|spring-security|starters|primefaces|butterfaces|bootsfaces|tomcat|jetty,18,true
bonigarcia/mastering-junit5,Examples of the Packt book "Mastering Software Testing with JUnit 5: Comprehensive guide to develop high quality Java applications",https://github.com/bonigarcia/mastering-junit5,431,4988,Java,Tue Jun 16 00:19:48 CST 2026,238,0,2978,Apache License 2.0,junit5|java|mockito|spring-boot|docker|selenium|appium|android|rest|junit,16,true
SasanLabs/VulnerableApp,OWASP VulnerableApp Project: Break it. Scan it. Reproduce it. Benchmark against it. Improve it.,https://github.com/SasanLabs/VulnerableApp,423,46342,Java,Tue Jun 16 00:21:53 CST 2026,714,125,1288,Apache License 2.0,owasp-zap|vulnerable-application|learn-security|test-vulnerability-scanning-tools|burpsuite|payload-testing|practice-hacking|vulnerability-scanning|spring-boot|javascript,9,true
lishuangqiang/AI-Meeting,基于 Spring Boot 3 + Java 17 + Spring AI + MySQL + MongoDB + Redis + SSE/WebSocket，实现 AI 对话、智能体会话、AI 模拟面试、实时语音转写、长文本语音合成等核心功能。架构清晰、文档完整，支持本地运行与 Docker 一键部署，非常适合作为 Spring Boot AI 应用开发、智能体后端设计与简历展示项目。,https://github.com/lishuangqiang/AI-Meeting,414,6176,Java,Mon Jun 15 21:25:39 CST 2026,71,1,52,MIT License,java17|mongodb|mysql|redis|spring-boot|springai|sse|websocket,0,true
shiyindaxiaojie/eden-demo-cola,An enterprise-grade implementation of Alibaba's COLA architecture; driven by deep insights into DDD; CQRS; and SOLID. Proven in production.,https://github.com/shiyindaxiaojie/eden-demo-cola,414,2143,Java,Tue Apr 28 10:31:52 CST 2026,79,1,411,Apache License 2.0,demo|architect|cola4|spring-boot|alibaba,5,true
piomin/sample-spring-kafka-microservices,Example microservices showing how to use Kafka and Kafka Streams with Spring Boot on the example of distributed transactions implementations with the SAGA pattern ,https://github.com/piomin/sample-spring-kafka-microservices,412,560,Java,Tue Apr 21 01:45:33 CST 2026,211,1,157,GNU General Public License v3.0,kafka|kafka-streams|spring-boot|spring-kafka,5,true
gudaoxuri/dew,微服务一站式解决方案，提供：架构指南、容器优先/兼容Spring Cloud与Service Mesh的框架、最佳实践及Devops标准化流程。,https://github.com/gudaoxuri/dew,400,93375,Java,Sun Mar 01 21:43:33 CST 2026,174,15,761,Apache License 2.0,springcloud|spring-boot|microservices|redis|hazel|auth|k8s|kubernetes|istio|service-mesh,41,true
opentracing-contrib/java-spring-cloud,Distributed tracing for Spring Boot; Cloud and other Spring projects,https://github.com/opentracing-contrib/java-spring-cloud,397,832,Java,Mon Jan 26 16:00:48 CST 2026,144,58,262,Apache License 2.0,spring-cloud|opentracing|tracing|spring-boot|springboot|instrumentation|spring|jms|jdbc|feign,23,true
feiyuchuixue/sz-boot-parent,Sz-Admin: An open-source Spring Boot 4 and Vue 3 admin scaffold with RBAC; dynamic menus; code generation; data scope; Excel; OSS and WebSocket support.,https://github.com/feiyuchuixue/sz-boot-parent,394,13308,Java,Sun Jun 14 23:51:26 CST 2026,97,20,740,Apache License 2.0,jdk21|rbac|sa-token|vue3|admin-dashboard|admin-template|backend-framework|liquibase|mybatis-flex|mysql,6,true
sonus21/rqueue,Rqueue: Job Queue and Scheduler for Spring and Spring Boot (Redis & NATS),https://github.com/sonus21/rqueue,387,11404,Java,Sun May 24 12:58:19 CST 2026,71,7,239,Apache License 2.0,spring-boot|spring|redis|asynchronous-tasks|delayed-jobs|delayed-queue|java|task-executor|task-scheduler|queue-tasks,11,true
Genc/spring-boot-boilerplate, Spring Boot Boilerplate is a starter kit. This project includes : Spring Boot(4.1.0); Spring Data JPA; Spring Validation; Spring Security + JWT Token; PostgreSQL; Mapstruct; Lombok; Swagger (Open API),https://github.com/Genc/spring-boot-boilerplate,376,93,Java,Fri Jun 12 05:25:09 CST 2026,169,0,70,Apache License 2.0,spring-data-jpa|spring-validation|spring-security|jwt|postgresql|mapstruct|lombok|swagger|java|spring,5,true
MarcGiffing/bucket4j-spring-boot-starter,Spring Boot Starter for Bucket4j,https://github.com/MarcGiffing/bucket4j-spring-boot-starter,366,1435,Java,Mon Apr 13 12:47:36 CST 2026,75,20,556,Apache License 2.0,java|rate-limit|spring|spring-boot|spring-boot-starter|throttling|bucket4j|spring-mvc|spring-webflux,13,true
sofn/ArchForge,Modern enterprise platform built with Spring Boot 4 ,https://github.com/sofn/ArchForge,365,6008,Java,Sat Jun 13 11:18:05 CST 2026,178,0,225,Apache License 2.0,java|spring-boot|gradle|modern|rapid,52,true
dailycodebuffer/Spring-MVC-Tutorials,Spring-MVC-Tutorials,https://github.com/dailycodebuffer/Spring-MVC-Tutorials,364,307,Java,Fri Sep 12 11:50:34 CST 2025,922,9,74,MIT License,spring-boot|spring-mvc-tutorials,20,true
anton-liauchuk/educational-platform,Modular Monolith Java application with DDD,https://github.com/anton-liauchuk/educational-platform,363,1624,Java,Thu May 28 06:17:03 CST 2026,81,0,250,MIT License,ddd|ddd-cqrs|cqrs|java|spring|spring-boot|hexagonal-architecture|hexagonal|clean-architecture|modularity,12,true
